drugname,total_reports,fatal_cases,fatality_rate_pct
INFLIXIMAB,28678,262,0.91
VEDOLIZUMAB,24054,164,0.68
METHOTREXATE,22536,884,3.92
COSENTYX,19937,786,3.94
HUMIRA,15779,389,2.47
HUMAN IMMUNOGLOBULIN G,14683,397,2.7
REMICADE,12645,173,1.37
ACTEMRA,12079,497,4.11
OCREVUS,11289,59,0.52
CIPROFLOXACIN,10554,203,1.92
SANDOSTATIN LAR DEPOT,10100,246,2.44
XELJANZ XR,9859,173,1.75
XOLAIR,8702,63,0.72
XELJANZ,8679,337,3.88
RITUXIMAB,8620,853,9.9
TEDUGLUTIDE,8471,193,2.28
IBRANCE,8462,388,4.59
ENBREL,7958,667,8.38
KEYTRUDA,7920,740,9.34
AMLODIPINE,7785,759,9.75
