drugname,total_reports,fatal_cases,fatality_rate_pct
FENTANYL CITRATE,1143,510,44.62
FENTANYL,3607,1479,41.0
ENHERTU,1072,314,29.29
ACETAMINOPHEN,7748,2134,27.54
VENETOCLAX,4584,1087,23.71
BUPROPION,1528,340,22.25
VENCLEXTA,3552,779,21.93
TAFINLAR,1474,320,21.71
NUPLAZID,4090,880,21.52
TECENTRIQ,1297,273,21.05
PADCEV,1100,209,19.0
ELIQUIS,5320,1001,18.82
VORICONAZOLE,1212,227,18.73
CAPECITABINE,2101,372,17.71
VYNDAMAX,2590,441,17.03
AZACITIDINE,1284,207,16.12
XIFAXAN,1522,237,15.57
DEXAMETHASONE,6987,1062,15.2
ALLOPURINOL,1755,259,14.76
ELIGARD,2448,355,14.5
